id,sentence,rhetoricalRole,relevance
1,"Appeal by special leave from the order dated July 4, 1962, of the Government of Punjab (Labour Department) in exercise of the powers conferred by sub-rule 6 of the Punjab Welfare Officers (Recruitment and Service Conditions) Rules, 1952. M. C.  Setalvad, J. B.  DadachanJi, 0. C.  Mathur and Ravinder Narain, for the appellants.",Ratio of the decision,0
2,"J.  P.  Goyal, for respondent number 1.",Ratio of the decision,0
3,"Gopal Singh and R.  N.  Sachthey, for respondent number 2.",Argument,0
4,"The Judgment of GAJENDRAGADKAR C. J. , M.  HIDAYATULLAH, SHAH and SIKRI JJ. was delivered by GAJENDRAGADKAR C.  J.  BACHAWAT J.  delivered a separate Opinion.",Argument,1
5,"Gajendragadkar, C.  J.",Argument,1
6,"The principal point of law which arises in this appeal by special leave is whether respondent number 2, the State of Punjab, exercising its appellate jurisdiction under Rule 6(6) of the Punjab Welfare Officers Recruitment and Conditions of Service Rules, 1952 (hereinafter called 'the Rules') is a Tribunal within the meaning of article 136(1) of the Constitution.",Argument,1
7,"The appellant, the Associated Cement Companies limited , Bhupendra Cement Works, Surajpur, challenges the validity of the appellate order passed by respondent number 2 on July 4, 1962 under the provision of the said Rule, directing the appellant to reinstate its Welfare Officer, P.  N.  Sharma-respondent number    1.",Argument,0
8,"At the hearing of this appeal, a preliminary objection has been raised by Mr.  Goyal on behalf of respondent number 1 that special leave should not have been granted to the appellant, because the appeal is incompetent inasmuch as respondent number 2 against whose appellate decision the appellant purports to have preferred the present appeal is not a tribunal under article 136(1).",Argument,1
9,"If the preliminary objection fails, then it would become necessary to consider the appellant's contention that the impugned appellate order is invalid and erroneous and must be set aside.",Ratio of the decision,0
10,"The appellant is a company with its Head Office in Bombay and it runs 14 cement factories, 2 collieries and one fire brick works in 8 States of the Union of India.",Ratio of the decision,0
11,"One such Cement Works is the Bhupendra Cement Works, Surajpur within the territorial limits of respondent number 2.",Ratio of the decision,0
12,"Under the provisions of the Factories Act, 1948 (number 63 of 1948) (hereinafter called the Act) read with the provisions of the Rules, the appellant was required to appoint one Welfare Officer and to notify his appointment and 369 qualification to the Chief Inspector of Factories.",Ratio of the decision,1
13,Respondent number 1 was appointed such a Welfare Officer.,Ratio of the decision,1
14,"The letter of appointment issued to him on March 2, 1956, stated that he would be liable to be transferred from one unit of the appellant to another and that his services could be terminated by the appellant by one month's notice or with one month's pay in lieu thereof.",Ruling by Present Court,1
15,"Respondent number 1 was first posted at Lakheri Cement Works, Lakheri in Rajasthan, where he joined duty on March 14, 1956.",Ruling by Present Court,0
16,"Thereafter, he was transferred from one place to another according to the requirements of service and the working of the appellant's factories.",Ruling by Present Court,0
17,"On June 26, 1960, he was posted at the Bhupendra Cement Works.",Ruling by Present Court,0
18,"He was working at these Works until September 26, 1961, when his services were terminated.",Ruling by Present Court,0
19,"It appears that the appellant transferred respondent number 1 from Bhupendra Cement Works to Kymore Works which is near Katni in Madhya Pradesh, but apparently, respondent number 1 was not prepared to go to Kymore Works, and after long and protracted correspondence between the parties, the appellant wrote to him on September 26, 1961, that since he had not proceeded to Kymore on transfer as directed, he had ceased to be in the employment of the appellant, and his name had been struck off from the Company's roll.",Ruling by Present Court,0
20,Respondent number 1 then filed an appeal before respondent number   2 as the appellate authority under R.  6(6) of the Rules.,Ruling by Present Court,1
21,"On receiving notice of the said appeal, the appellant filed its written statement and disputed the validity of the grievance made by respondent number 1 in respect of the termination of his services.",Ruling by Present Court,0
22,"Respondent number 2 then passed the impugned order on July 4, 1962.",Ruling by Present Court,0
23,"This order was issued in the name of the Governor of Punjab in exercise of the powers conferred by R.  6(6) of the Rules, and it directed that the Governor of Punjab was pleased to reinstate respondent number 1 as Labour Welfare Officer in the service of the appellant.",Ruling by Present Court,0
24,"""However"", says the order, ""nothing in this order shall be construed to prevent the management from taking action against Mr.  P.  N.  Sharma in accordance with the provisions of the Rules for such acts and commissions on his part as may have come to their notice"".",Ruling by Present Court,0
25,It is the validity of this order which is challenged before us by the appellant.,Ruling by Present Court,0
26,"Before proceeding to deal with the preliminary objection, we may conveniently refer to the relevant provisions of the Act and the Rules.",Ruling by Present Court,0
27,The Act has been passed in 1948 with the object of consolidating and amending the law regulating labour in factories.,Argument,0
28,"Consistently with this object and policy, the Act has made several beneficient provisions in the interests of industrial labour employed 370 in factories to which the Act applies.",Argument,0
29,Section 49 deals with the appointment of Welfare Officers.,Ratio of the decision,0
30,"S. 49(1) provides that in every ,factory wherein five hundred or more workers are ordinarily employed, the occupier shall employ in the factory such number of welfare officers as may be prescribed.",Ratio of the decision,0
31,"It is common ground that the appellant falls within the, scope of section 49(1), and so, it has been appointing welfare officers in its factories; in fact, respondent number 1 was one of such Welfare Officers appointed by the appellant.",Ruling by Present Court,1
32,"Section 49(2) provides that the State Government may prescribe the duties, qualifications and conditions of service of officers employed under sub-section (1).",Ruling by Present Court,0
33,It is by virtue of the powers conferred on the State Government that respondent number 2 has framed the Rules.,Ruling by Present Court,0
34,"The Rules were framed by respondent number 2 in 1952 and have ,been published in the Punjab Government Gazette on March 26, 1952, and they came into force from September 30, 1952.",Ruling by Present Court,0
35,Rule 4 prescribes the qualifications for the appointment of a Welfare -Officer.,Ruling by Present Court,0
36,"R.  5 provides for the procedure which has to be followed ,in appointing Welfare Officers.",Ruling by Present Court,0
37,R. 6 prescribes conditions of service of Welfare Officers and R. 7 prescribes their duties.,Ruling by Present Court,0
38,"R. 8 confers power on the State Government to exempt any factory or class or description of factories from the operation of all or -any of these Rules, subject to compliance with such alternative arrangement as may be approved.",Ruling by Present Court,0
39,"In the present appeal, we are ,concerned with R. 6.",Ratio of the decision,0
40,"Rule 6 reads thus ""(1) A Welfare Officer shall be given appropriate status corresponding to the status of the other executive heads of the factory.",Ruling by Present Court,0
41,(2) The conditions of service of a Welfare Officer shall be the same as of other members of the Staff of corresponding status in the factory.,Ruling by Present Court,0
42,"(3) Notwithstanding anything contained in sub-rule (2) the management may impose any one or more of the following punishments on Welfare Officers (i) Censure;  (ii) Withholding of increments including stoppage at an efficiency bar;  (iii) reduction to a lower stage in a time scale;  (iv) suspension; and 371 (v) dismissal or termination of service in any other manner;  Provided that no order of punishment shall be passed against the Welfare Officer unless he has been informed of the grounds on which it is proposed to take action and given a reasonable opportunity of defending himself against the action proposed to, be taken in regard to him;  Provided further that the management shall not impose any punishment other than censure except with the previous con currence of the Labour Commissioner, Punjab.",Ruling by Present Court,0
43,"(4) The Labour Commissioner, Punjab, before passing orders on a reference made under second proviso to, sub-rule (3), shall give the Welfare Officer an opportunity of showing cause against the action proposed to be taken, against him and if necessary, may hear the parties in person.",Ruling by Present Court,0
44,"(5) If the Labour Commissioner, on a reference made to him under the second proviso to sub-rule (3) of rule 6, refuses to give his concurrence, the management may appeal to the State Government within thirty days from the date of the receipt of such refusal.",Ruling by Present Court,0
45,The decision of the State Government shall be final and binding.,Ruling by Present Court,1
46,(6) A Welfare Officer upon whom the punishment mentioned in clause (v) of sub-rule (3) is imposed may appeal to the State Government against the order of punishment within thirty days from the date of receipt of the order by him.,Ruling by Present Court,0
47,The decision of the State Government shall be final and binding.,Ruling by Present Court,1
48,(7) The State Government may pass such interim order as may be necessary pending the decision of appeal filed under sub-rule (5) or sub-rule (6).,Ruling by Present Court,0
49,"It would be noticed that it is under rule 6(6) that the impugned order has been passed by respondent number 2, and the question which has first to be considered in dealing with the present appeal is whether respondent number 2 can be said to be a tribunal within the meaning of article 136(1) so as to justify the appellant to bring the appellate decision of respondent number 2 before this Court by special leave under the said Article.",Ruling by Present Court,0
50,"article 136(1) reads thus : "" Notwithstanding anything in this Chapter, the Supreme Court may, in its discretion, grant special leave 372 . lm15 to appeal from any judgment, decree, determination, sentence or order in any cause or matter passed or made by any court or tribunal in the territory of India. """,Ruling by Present Court,0
51,"Mr.  Goyal contends that respondent number 2, is not a tribunal under article 1 3 6(1) and so, the impugned appellate order passed by it cannot be challenged by appeal under the said article.",Ruling by Present Court,0
52,It would be noticed that article136(1) refers to a tribunal as distinguished from a court.,Ruling by Present Court,0
53,"The expression ""court"" in the context denotes a tribunal . constituted by the State as a part of the ordinary hierarchy of ,courts which are invested with the State's inherent judicial powers.",Ruling by Present Court,0
54,"A sovereign State discharges legislative, executive and judicial functions and can legitimately claim corresponding powers which are described as legislative, executive and judicial powers.",Ratio of the decision,0
55,"Under our Constitution, the judicial functions and powers of the State are primarily conferred on the ordinary courts which have been constituted under its relevant provisions.",Ruling by Present Court,0
56,"The Constitution recognised a hierarchy of courts and to their adjudication are normally . ,entrusted all disputes between citizens and citizens as well as between the citizens and the State.",Ruling by Present Court,0
57,These courts can be described as ordinary courts of civil judicature.,Ruling by Present Court,0
58,They are governed by their prescribed rules of procedure and they deal with questions of fact and law raised before them by adopting a process which is described as judicial process.,Ruling by Present Court,0
59,"The powers which these courts exercise, are judicial powers, the functions they discharge are judicial functions and the decisions they reach and pronounce are judicial decisions.",Ruling by Present Court,1
60,In every State there are administrative bodies or authorities which are required to deal with matters within their jurisdiction in an administrative manner and their decisions are described as administrative decisions.,Ruling by Present Court,0
61,"In reaching their administrative decisions, administrative bodies can and often to take into consideration ,questions of policy.",Ruling by Present Court,0
